,song title,lyrics,artist,genre
0,As,"[Verse 1]
As around the sun the earth knows she's revolving
And the rosebuds know to bloom in early May
Just as hate knows love's the cure
You can rest your mind assure
That I'll be loving you always
As now can't reveal the mystery of tomorrow
But in passing will grow older every day
Just as all is born is new
Do know what I say is true
That I'll be loving you always

[Refrain]
Until the rainbow burns the stars out in the sky (Always)
Until the ocean covers every mountain high (Always)
Until the dolphin flies and parrots live at sea (Always)
Until we dream of life and life becomes a dream

[Verse 2]
Did you know that true love asks for nothing
Her acceptance is the way we pay
Did you know that life has given love a guarantee
To last through forever and another day
Just as time knew to move on since the beginning
And the seasons know exactly when to change
Just as kindness knows no shame
Know through all your joy and pain
That I'll be loving you always

As today I know I'm living but tomorrow
Could make me the past but that I mustn't fear
For I'll know deep in my mind
The love of me I've left behind
Cause I'll be loving you always

[Refrain]
Until the day is night and night becomes the day (Always)
Until the trees and seas just up and fly away (Always)
Until the day that 8 times 8 times 8 is 4 (Always)
Until the day that is the day that are no more
(Did you know that you're loved by somebody?)
Until the day the earth starts turning right to left (Always)
Until the earth just for the sun denies itself (I'll be loving you forever)
Until dear Mother Nature says her work is through (Always)
Until the day that you are me and I am you (Always)
Until the rainbow burns the stars out in the sky (Always)
Until the ocean covers every mountain high (Always)

[Bridge]
We all know sometimes life's hates and troubles
Can make you wish you were born in another time and space
But you can bet your life times that and twice its double
That God knew exactly where he wanted you to be placed
So make sure when you say you're in it but not of it
You're not helping to make this earth a place sometimes called Hell
Change your words into truths and then change that truth into love
And maybe our children's grandchildren
And their great-great grandchildren will tell
I'll be loving you

[Refrain]
Until the rainbow burns the stars out in the sky (Loving you)
Until the ocean covers every mountain high (Loving you)
Until the dolphin flies and parrots live at sea (Loving you)
Until we dream of life and life becomes a dream (Be loving you)
Until the day is night and night becomes the day (Loving you)
Until the trees and seas just up and fly away (Loving you)
Until the day that 8 times 8 times 8 is 4 (Loving you)
Until the day that is the day that are no more (Loving you)
Until the day the earth starts turning right to left (Be loving you)
Until the earth just for the sun denies itself (Loving you)
Until dear Mother Nature says her work is through (Loving you)
Until the day that you are me and I am you (Now ain't that loving you?)
Until the rainbow burns the stars out in the sky (Ain't that loving you?)
Until the ocean covers every mountain high (And I've got to say always)
Until the dolphin flies and parrots live at sea (Always)
Until we dream of life and life becomes a dream-Um (Always)
Until the day is night and night becomes the day (Always)
Until the trees and seas just up and fly away (Always)
Until the day that 8 times 8 times 8 is 4
Until the day that is the day that are no more
Until the day the earth starts turning right to left (Always)
Until the earth just for the sun denies itself
Until dear Mother Nature says her work is through
Until the day that you are me and I am you
Until the rainbow burns the stars out in the sky
Until the ocean covers every mountain high
Until the dolphin flies and parrots live at sea
Until we dream of life and life becomes a dream
Until the day is night and night becomes the day
Until the trees and seas just up and fly away
Until the day that 8 times 8 times 8 is 4
Until the day that is the day that are no more
Until the day the earth starts turning right to left
Until the earth just for the sun denies itself
Until dear Mother Nature says her work is through
Until the day that you are me and I am you",Stevie Wonder,Soul
1,Superstition,"[Verse 1]
Very superstitious
Writing's on the wall
Very superstitious
Ladder's about to fall
Thirteen month old baby
Broke the looking glass
Seven years of bad luck
The good things in your past

[Chorus]
When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way

[Verse 2]
Very superstitious
Wash your face and hands
Rid me of the problem
Do all that you can
Keep me in a daydream
Keep me going strong
You don't want to save me
Sad is my song

[Chorus]
When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way

[Verse 3]
Very superstitious
Nothing more to say
Very superstitious
The devil's on his way
Thirteen month old baby
Broke the looking glass
Seven years of bad luck
Good things in your past

[Chorus]
When you believe in things
That you don't understand
Then you suffer
Superstition ain't the way
No, no, no",Stevie Wonder,Soul
2,Isn’t She Lovely?,"[Verse 1]
Isn't she lovely?
Isn't she wonderful?
Isn't she precious?
Less than one minute old
I never thought through love we'd be
Making one as lovely as she
But isn't she lovely made from love?

[Verse 2]
Isn't she pretty?
Truly the angel's best
Boy, I'm so happy
We have been heaven blessed
I can't believe what God has done
Through us he's given life to one
But isn't she lovely made from love?

[Harmonica Solo]

[Verse 3]
Isn't she lovely?
Life and love are the same
Life is Aisha
The meaning of her name
Londie, it could have not been done
Without you who conceived the one
That's so very lovely made from love

[Instrumental Outro]",Stevie Wonder,Soul
3,I Just Called to Say I Love You,"[Verse 1]
No New Year's Day to celebrate
No chocolate covered candy hearts to give away
No first of Spring, no song to sing
In fact here's just another ordinary day
No April rain, no flowers bloom
No wedding Saturday, within the month of June
But what it is, is something true
Made up of these three words that I must say to you

[Chorus]
I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

[Verse 2]
No summer's high
No warm July
No harvest moon to light one tender August night
No autumn breeze
No falling leaves
Not even time for birds to fly to southern skies
No Libra sun
No Halloween
No giving thanks to all the Christmas joy you bring
But what it is, though old so new
To fill your heart like no three words could ever do

[Chorus]
I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

I just called to say I love you
I just called to say how much I care
I just called to say I love you
And I mean it from the bottom of my heart

[Outro]
Of my heart
Of my heart",Stevie Wonder,Soul
4,Sir Duke,"[Verse 1]
Music is a world within itself
With a language we all understand
With an equal opportunity
For all to sing, dance and clap their hands
But just because a record has a groove
Don't make it in the groove
But you can tell right away at letter A
When the people start to move

[Chorus]
They can feel it all over
They can feel it all over people
They can feel it all over
They can feel it all over people

[Verse 2]
Music knows it is and always will
Be one of the things that life just won't quit
But here are some of music's pioneers
That time will not allow us to forget
For there's Basie, Miller, Satchmo
And the king of all Sir Duke
And with a voice like Ella's ringing out
There's no way the band can lose

[Chorus]
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people

[Breakdown]

[Chorus]
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
You can feel it all over people
You can feel it all over
I can feel it all, all, all-all-all over people

[Outro]
Can't you feel it all over?
Come on, let's feel it all over people
You can feel it all over
Everybody, all over people",Stevie Wonder,Soul
5,I Wish,"[Verse 1]
Looking back on when I
Was a little nappy headed boy
Then my only worry
Was for Christmas what would be my toy
Even though we sometimes
Would not get a thing
We were happy with the
Joy the day would bring
Sneaking out the back door
To hang out with those hoodlum friends of mine, ooh
Greeted at the back door
With, ""Boy, thought I told you not to go outside""
Trying your best to bring the water to your eyes
Thinking it might stop her from whooping your behind

[Chorus]
I wish those days could come back once more
Why did those days ever have to go?
I wish those days could come back once more
Why did those days ever have to go?
'Cause I love them so

[Verse 2]
Brother says he's telling
About you playing doctor with that girl
Just don't tell and I'll give you
Anything you want in this whole wide world
Mama gives you money for Sunday school
You trade yours for candy after church is through
Smoking cigarettes and writing something nasty on the wall
(You nasty boy)
Teacher sends you to the principal's office down the hall
You grow up and learn that kind of thing isn't right
But while you were doing it, it sure felt outta sight

[Chorus]
I wish those days could come back once more
Why did those days ever have to go?
I wish those days could come back once more
Why did those days ever have to go?",Stevie Wonder,Soul
6,Don’t You Worry ’Bout a Thing,"[Intro]
Eee eee!
Watch this y'all
Comprende señora
[? gibberish]
See here mama, you understand uh (mm-ah)
Well huh like huh I understand how you can't
I've been to Paris, Beirut you know Iraq, Iran, ""Ukraingia"" you know
I speak very very um fluent Spanish
Todo 'stá bien chévere' you understand that ? chévere
Yes I mama, I got my shakers

[Verse 1]
Everybody's got a thing
But some don't know how to handle it
Always reaching out in vain
Just taking the things not worth having but

[Chorus 1]
Don't you worry 'bout a thing
Don't you worry 'bout a thing, mama
'Cause I'll be standing on the side
When you check it out

[Verse 2]
They say your style of life's a drag
And that you must go other places
But just don't you feel too bad
When you get fooled by smiling faces

[Chorus 2]
Don't you worry 'bout a thing
Don't you worry 'bout a thing, mama
'Cause I'll be standing on the side
When you check it out
When you get off your trip

[Bridge]
Don't you worry 'bout a thing
Don't you worry 'bout a thing

[Chorus 2]
Don't you worry 'bout a thing
Don't you worry 'bout a thing, mama
'Cause I'll be standing in the side
When you check it out
When you get off your trip

[Verse 3]
Everybody needs a change
A chance to check out the new
But you're the only one to see
The changes you take yourself through

[Chorus 3]
But don't you worry 'bout a thing
Don't you worry 'bout a thing, pretty mama
'Cause I'll be standing in the wings
When you check it out


[Outro]
Don't you worry 'bout a thing
(Todo 'stá bien chévere)
Don't you worry 'bout a thing
(Todo 'stá bien chévere)
Don't you worry 'bout a thing
(Todo 'stá bien chévere)
Don't you worry 'bout a thing
Yeah
Don't worry 'bout a thing
Don't you worry 'bout a thing, mama
Don't you worry 'bout a thing, sugar
Don't you worry 'bout a thing, mama
Don't you worry 'bout a thing hey
Don't worry, don't worry, don't worry
Don't you worry 'bout a thing, sugar
Don't you worry 'bout a thing
Don't you worry 'bout a thing
Todo 'stá bien chévere",Stevie Wonder,Soul
7,Living for the City,"[Verse 1]
A boy is born in hard time Mississippi
Surrounded by four walls that ain't so pretty
His parents give him love and affection
To keep him strong moving in the right direction
Living just enough, just enough for the city

[Verse 2]
His father works some days for fourteen hours
And you can bet he barely makes a dollar
His mother goes to scrub the floors for many
And you'd best believe she hardly gets a penny
Living just enough, just enough for the city (yeah)

[Verse 3]
His sister's black but she is sho 'nuff pretty
Her skirt is short but Lord her legs are sturdy
To walk to school she's got to get up early
Her clothes are old but never are they dirty
Living just enough, just enough for the city (um-hum)

[Verse 4]
Her brother's smart he's got more sense than many
His patience's long but soon he won't have any
To find a job is like a haystack needle
Because where he lives they don't use colored people
Living just enough, just enough for the city

[Bridge]
(Living just enough for the city)
Living for the city, yeah
(Believing just enough for the city)
Ain't nothing but a city
(Believing just enough for the city)
Living for the city, yeah yeah
(Believing just enough for the city)
Nothing but a city
(Believing just enough for the city)
Live for the city, yeah yeah
(Believing just enough for the city)
The fucking crud is shitty
(Believing just enough for the city)
Live for the city
(Believing just enough for the city)
Ain't nothing but a city, woo
(Believing just enough for the city)
Everybody clap their hands together now, woo
(Believing just enough for the city)
Hmm, for the city yeah
(Believing just enough for the city)
For the city, yeah yeah
(Believing just enough for the city)
For the city, yeah
(Believing just enough for the city)

[Spoken Interlude]
Bus for New York City!
Hey, bus driver! I'm getting on that, hold it
Thanks a lot
Wow, New York, just like I pictured it
Skyscrapers and everything
Hey hey brother, hey come here slick
Hey you look, you look hip man
Hey you wanna make yourself five bucks man
You look hip
Run this across the street for me right quick
Okay, run this across the street for me
What? Huh? I didn't know! What?
Gimme your hands up you punk!
I'm just going across the street
Put that leg up, shut your mouth
Hell no, what did I do?
Okay, turn around, turn around
Put your hands behind your back, let's go, let's go
A jury of your peers having found you guilty, ten years
What?
Come on, come on, get in that cell nigga
God, lord

[Verse 5]
His hair is long, his feet are hard and gritty
He spends his life walking the streets of New York City
He's almost dead from breathing in air pollution
He tried and fought but to him there's no solution
Living just enough, just enough for the city

[Verse 6]
I hope you hear inside my voice of sorrow
And that it motivates you to make a better tomorrow
This place is cruel nowhere could be much colder
If we don't change, the world will soon be over
Living just enough, stop giving just enough for the city",Stevie Wonder,Soul
8,Higher Ground,"[Verse 1]
People keep on learning
Soldiers keep on warring
World keep on turning
'Cause it won't be too long

[Verse 2]
Powers keep on lying
While your people keep on dying
World keep on turning
'Cause it won't be too long

[Chorus]
I'm so darn glad he let me try it again
Because my last time on earth I lived a whole world of sin
I'm so glad that I know more than I knew then
Going to keep on trying
'Til I reach my highest ground

[Verse 3]
Teachers keep on teaching
Preachers keep on preaching
World keep on turning
'Cause it won't be too long
Oh no

[Verse 4]
Lovers keep on loving
Believers keep on believing
Sleepers just stop sleeping
'Cause it won't be too long
Oh no

[Chorus]
I'm so glad that he let me try it again
'Cause my last time on earth I lived a whole world of sin
I'm so glad that I know more than I knew then
Going to keep on trying
'Til I reach my highest ground
Woo

[Outro]
'Til I reach my highest ground
No one's going to bring me down
Oh no
'Til I reach my highest ground
Don't you let nobody bring you down (They'll sho 'nuff try)
God is gonna show you highest ground
He's the only friend you'll have around
'Cause the rest of the world will bring you down",Stevie Wonder,Soul
9,Happy Birthday,"[Verse 1]
You know it doesn't make much sense
There ought to be a law against
Anyone who takes offense
At a day in your celebration
'Cause we all know in our minds
That there ought to be a time
That we can set aside
To show just how much we love you
And I'm sure you would agree
It couldn't fit more perfectly
Than to have a world party on the day you came to be

[Chorus]
Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

[Verse 2]
I just never understood
How a man who died for good
Could not have a day that would
Be set aside for his recognition
Because it should never be
Just because some cannot see
The dream as clear as he
That they should make it become an illusion
And we all know everything
That he stood for time will bring
For in peace our hearts will sing
Thanks to Martin Luther King

[Chorus]
Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

[Bridge]
Why has there never been a holiday
Where peace is celebrated
All throughout the world

[Verse 3]
The time is overdue
For people like me and you
Who know the way to truth
Is love and unity to all God's children
It should be a great event
And the whole day should be spent
In full remembrance
Of those who lived and died for the oneness of all people
So let us all begin
We know that love can win
Let it out, don't hold it in
Sing it loud as you can

[Chorus]
Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday
Happy birthday to you
Happy birthday to you
Happy birthday

[Bridge 2]
Happy birthday, happy birthday, happy birthday
Ooh yeah
Happy birthday, happy birthday, happy birthday...

[Outro]
We know the key to unity of all people
Is in the dream that you had so long ago
That lives in all of the hearts of people
That believe in unity
We'll make the dream become a reality
I know we will
Because our hearts tell us so

Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday
Happy birthday, happy birthday, happy birthday",Stevie Wonder,Soul
