Artist,Song,Genre,Language,Lyrics
rage against the machine,clampdown,Metal,en,"What are we gonna do now?
Taking off his turban, they said, is this man a Jew?
'Cause they're working for the clampdown
They put up a poster saying we earn more than you+ACE-
When we're working for the clampdown
We will teach our twisted speech
To the young believers
We will train our blue-eyed men
To be young believers
The judge said five to ten-but I say double that again
I'm not working for the clampdown
No man born with a living soul
Can be working for the clampdown
Kick over the wall 'cause government's to fall
How can you refuse it?
Let fury have the hour, anger can be power
D'you know that you can use it?
The voices in your head are calling
Stop wasting your time, there's nothing coming
Only a fool would think someone could save you
The men at the factory are old and cunning
You don't owe nothing, so boy get runnin'
It's the best years of your life they want to steal
You grow up and you calm
down
You're working for the clampdown
You start wearing the blue and brown
You're working for the clampdown
So you got someone to boss around
It makes you feel big now
You drift until you brutalize
You made your first kill now
In these days of evil presidentes
Working for the clampdown
But lately one or two has fully paid their due
For working for the clampdown
But ha Gitalong Gitalong
And I've given away no secrets
Who's barmy now?."
the tragically hip,'use it up',Indie,en,"Use it up
Use it all up
Don't save a thing for later
If there's music out there laying in wait
To pounce and drain every ounce if you
Wait or hesitate
And music that'll help you be tough
And come together on more than
Springsteen
Though most days it's been enough
Then there's music that can take you away
Away
Away
Away

So use it up
Use it all up
Don't save a thing for later
Use it up
Use it all up
Don't save a thing for later

If there's music out there staying awake
To cry and drain every eye until
Hatred's eliminated
And music that can help you feel great
And come together in 'the fictive dream'
With a kind of Randy Newman take
There's music that can take you away
Away
Away
Away
Where we can jump to our feet, agape
Cause nothing is cruel
And even if it is or was
Indefeasibly cruel
We don't care because
Yer a fool
I'm a fool
Yer a fool
And I'm a fool
For music that can take you away
For music that can take you away
For music that can take you away

So use it up
Use it all up
Don't save a thing for later"
judee sill,waterfall,Folk,en,"I've heard the waterfall roaring again
Since I've been lovin' you
With my poor heart in my throat I begin
Living a dream come true
Tumblin' down comes the waters
Tickling every stone
On the edge trembling, I totter
My fate unknown
But my fear has flown

Cause' your love came to lead me home
Waterfall song in my head
Prasin' its thunderous swords
Just as my heart praises you and me here
True love's the wondrous force
Tumblin' down comes the waters
Tickling every stone
Rumbling gravity falters
Since dawn has shown
How nice overthrown
And love comes to lead us home
From a small trickle it grows
Watching a waiting front
Til its momentum will carry the flow
Over the rushing falls
Tumbling down comes the waters
Tickling every stone
Pass the sun's rays growin' hotter
The cascades drones 
Through glistening falls
Like love comes to lead us home"
the stone roses,waterfall,Rock,en,"Chimes sing Sunday morn
Today's the day she's sworn
To steal what she never could own
And race from this hole she calls home

Now you're at the wheel
Tell me how, how does it feel?
So good to have equalized
To lift up the lids of your eyes

As the miles they disappear
See land begin to clear
Free from the filth and the scum
This American satellites won

She'll carry on through it all
She's a waterfall

She'll carry on through it all
She's a waterfall

See the steeple pine
The hills as old as time
Soon to be put to the test
To be whipped by the winds of the west

Stands on shifting sands
The scales held in her hands
The wind it just whips her and waits
And fills up her brigantine sails

She'll carry on through it all
She's a waterfall
She'll carry on through it all

She's a waterfall"
muddy waters,she moves me,Rock,en,"She moves me, man
Honey, and I don't see how it's done 
She moves me, man
Honey, and I don't see how it's done 
She got a pocket full of money
Little doll don't try to help me, though 

She move me when she get drunk
Then she say I'm not nowhere 
She call me a dumbbell
She say I'm nothing but a square 

She moves me man
Honey, and I don't see how it's done 
She got a pocket full of money
The little girl don't try to help me, though 
What kinda woman is that?

She move a crazy man
Who say ""now I'm not so dumb"" 
I take her to a funeral boy
The dead jumped up to run 
She look at a deaf and dumb boy
Said ""now I can speak"" 
She shook her finger in a blind man's face
""Once was blind but now I see"" 

She moves me man
Honey, and I don't see how it's done 
She gotta pocket full of money
The little girl don't try to help me, though"
bibio,rotten rudd,Folk,en,"me and my friend were digging in dirt
me and my brother buried that box
long enough ago to forget when
but i remember what was inside
what was inside once glistened silver
seeing it tarnished still decaying
and i remember when it left us
and i remember when we found it"
fabolous,diamonds on my damn chain,Hip-Hop,en,"Diamonds on my damn chain It ain't hard to tell Diamonds on my damn chain Diamonds on my damn chain I'm like ooh daddy, I see you do the damn thang Got my vote, I'm feelin' your campaign I like you but I really like your damn chain Diamonds on my damn chain Diamonds on my damn chain It kinda explains the way she be actin' She liked my necklace so she started relaxin' Now that's what the fuck I call a chain reaction Yo, you think they like me now, wait until the light hit me I bet the house somebody girl spend the night with me They gotta love it, if not, then I guess they haters This kinda necklace'll turn on the investigators They ain't got one problem with this Square face watch look like Sponge Bob on the wrist One white, one gold, one nice, untold You can look but don't touch, guns might unload, now I respect them thugs who get the jackin' on But we squeeze set every slug that we be packin's long You boy got the drug money we be stacking on Lotta carrots, not the one's Bugs Bunny snackin' on Got 'em, get 'em close and lookin' like I scooped up The Titanic chain from the bottom of the ocean I play them diamonds well when I got that jewelery on They should call me Parot Jeter, maybe Canary Bonds Diamonds on my damn chain Diamonds on my damn chain I'm like ooh daddy, I see you do the damn thang Got my vote, I'm feelin' your campaign I like you but I really like your damn chain Diamonds on my damn chain Diamonds on my damn chain It kinda explains the way she be actin' She liked my necklace so she started relaxin' Now that's what the fuck I call a chain reaction Damn, what happened? He's blindin' everybody Hey ,it must be Jeezy out shinin' everybody (Yup) Ready for the show, you can call me the light man (Diamonds on my damn chain) You can call me the bright man See I don't do brightless, I do, AP's Yeah, I spend G's on all these VV's Blowin' on chief, yeah, I got it from Harlem 12 carrot pinky ring, shit, I got it from Robert Step it up a notch, iced out ski mask Places in the projects to hide my weed stash Dominican chick, shit, I got her from Fab Yellow stones in my chain so I call it the cab Diamonds on my damn chain Diamonds on my damn chain I'm like ooh daddy, I see you do the damn thang Got my vote, I'm feelin' your campaign I like you but I really like your damn chain Diamonds on my damn chain Diamonds on my damn chain It kinda explains the way she be actin' She liked my necklace so she started relaxin' Now that's what the fuck I call a chain reaction Yo, maybe it's them VV's, 'cause they sets Susters' Sit on the next bus like that show on MTV The wings on the chain, make a nigga fly like the wings on a plane When you're sitting in between 'em They hittin' when you clean 'em, glitenin' when you seen 'em Beemin' through the tints when I'm sitting in the phenom Oops, I mean Phantom, my words got tangled man But this tiger stripe watch, make you bitch a Bangles' fan We all know Jacob, check the shit he did We spent more time making the band than Diddy did You feel my campaign, then drop your old spouse I'm out in DC, at the white and gold house (White and gold house) Wanna convince me love? Secret service Me with some of that Lewinsky love She saw the chain, gave me brain, no strain ever since Now that's what the fuck I call a good chain of events, nigga Diamonds on my damn chain Diamonds on my damn chain I'm like ooh daddy, I see you do the damn thang Got my vote, I'm feelin' your campaign I like you but I really like your damn chain Diamonds on my damn chain Diamonds on my damn chain It kinda explains the way she be actin' She liked my necklace so she started relaxin' Now that's what the fuck I call a chain reaction Diamonds on my damn chain It ain't hard to tell"
soraya ,reason to believe,Pop,en,"Saw a vision in the middle of the day
Reality slipped a million miles away
As my mind wandered its spirit embraced me
And brought me closer to this reason to believe 

Got a handful of burning questions
Living with the burden of good intentions
Having spent years reading between the lines
Hoping something would stir my mind

I've been looking for a reason
I've been searching for a way
For a reason to believe
For a way to be set free 

When I was a girl
And everything was still on my side
The urgencies of certain things were
Hugging at my side
Now the clock is ticking harder 
And the years are spinning by
Faster than I should want them to I find myself struggling
Against the same old fears
Through the years remained true

I've been looking for a reason
I've been searching for a way
For a reason to believe for a way to be set free
I've been looking for a reason
I've been searching for a way
For a reason to believe
For a way to be set free"
marilyn manson,mechanical animals,Metal,en,"We were neurophobic and perfect
The day that we lost our souls
Maybe we weren't so human
But if we cry we will rust
And I was a hand grenade
That never stopped exploding
You were automatic
And as hollow as the ""o"" in God
I am never gonna be the one for you
I am never gonna save the world from you
They'll never be good to you, bad to you
They'll never be anything
Anything at all
You were my mechanical bride
A phenobarbidoll
A manniqueen of depression
With the face of a dead star
And I was a hand grenade
That never stopped exploding
You were automatic
And as hollow as the ""o"" in God
I am never gonna be the one for you
I am never gonna save the world from you
They'll never be good to you, bad to you
They'll never be anything
Anything at all
I am never gonna be the one for you
I am never gonna save the world from you
This isn't me I'm not mechanical
I'm just a boy playing the suicide king
Playing the suicide king"
bill callahan,the wheel,Folk,en,"the wheel has turned one full circle
time for my meal of wood
to make my home
lord
in a stable spoke
lord
inside a turning wheel would be good
to make my home
lord
in a stable spoke
lord
inside a turning wheel bound for good
a woodbee tries to find purchase
on a turning spoke
from memphis to potomac
never giving up hope
i'd die in your jails
lord
but you'd die by my laws
lord
i think you got it worse
no rebel i
lord
i follow the river
when i'm lost
when i'm lost
the wheel has turned one more circle
the payload is now immense
so climb aboard all
climb aboard
because the heavier we get
the heavier we get
the harder we crush 'em
the heavier we get
the heavier we get
the harder we crush 'em
the wagon rolls like an old millstone
driving bad deeds six feet deep
to make my home
lord
in a stable spoke
lord
inside a turning wheel would be good
to make my home
lord
in a stable spoke
lord
inside a turning wheel bound for good"
chris brown,go away,Hip-Hop,en,"(Verse 1) Baby close your eyes and just Take my hand and put your trust In my heart I'll show you things you never seen before Girl the world is full of hearts But they never been this far And galaxies calling on you and me Just for one night girl, that's right (Bridge) Girl the world is full of hearts But their never been this far! And the galaxy is calling you and me Just for night, girl its right Hold on tight don't let go ? If you don't take a chance you'll never know! Moving faster now, travelling at the speed of light At the speed a sound (Chorus) Go away ohhh oo Well be riding on the stars tonight Go away ohh oo Girl we going to get lost tonight Go, go, go, go with me Go, go, go, go with me (Don't you wanna go to the moon with meeee) Go, go, go, go with me Go, go, go, go with me Ooo girl I know you wanna go riding on the stars tonight (Verse 2) I confess my love for you As we stick a flag up on the moon Baby I can honestly say I can stay up here forever in a day! (Bridge) Hold on tight don't let go ? If you don't take a chance you'll never know! Moving faster now, travelling at the speed of light At the speed a sound (Chorus) Go away ohhh oo Well be riding on the stars tonight Go away ohh oo Girl we going to get lost tonight Go, go, go, go with me Go, go, go, go with me (Don't you wanna go to the moon with meeee) Go, go, go, go with me Go, go, go, go with me Ooo girl I know you wanna go riding on the stars tonight (Verse 3) I wanna fly away from hereee Girl if you every get lonely we can fly away, away All you gotta do is hold me We can go today, today (Chorus) Go away ohhh oo Well be riding on the stars tonight Go away ohh oo Girl we going to get lost tonight Go, go, go, go with me Go, go, go, go with me (Don't you wanna go to the moon with meeee) Go, go, go, go with me Go, go, go, go with me Ooo girl I know you wanna go riding on the stars tonight"
